id,"first name","last name",Country
1,Amiti,Aanandi,Dhaka
2,Aishani,Bhuvi,"San Marino"
3,Bhanu,Babita,"Bolivia "
4,Alekhya,Anamika,"Andorra la Vella"
5,Aadarshini,Amrutha,"Ukraine "
6,Amita,Bhanupriya,Sanaa
7,Adrika,Belli,"Dominica "
8,Abishta,Abishta,Chisinau
9,Aasia,Akanksha,"Sudan "
10,Bavishya,Akashleena,Nairobi
11,Akira,Brijabala,"Port Moresby"
12,Ananti,Abhira,Beijing
13,Agrata,Ambuda,"New Delhi"
14,Bhooma,Brinda,"Japan "
15,Alak,Bhadra,Bangkok
16,Angoori,Aaloka,Victoria
17,Adwitiya,Bheema,"Kiribati "
18,Bhanuni,Andal,"Belize "
19,Bhavika,Brahmani,Male
20,Binita,Anamitra,"Germany "
21,Bijal,Bhavika,Monrovia
22,Babita,Abhijita,Palikir
23,Aanandamayee,Akriti,"Vanuatu "
24,Anahita,Angoori,"Zambia "
25,Bhavya,Bodhi,"Philippines "
26,Aishi,Alka,"Canada "
27,Aanchal,Anita,Tbilisi
28,Bhagini,Akhila,"Luxembourg "
29,Briti,Bhawna,"Tonga "
30,Basanti,Amrapali,Sofia
31,Bryn,Anjana,"Libya "
32,Aditi,Aloki,"Mexico City"
33,Ambika,Ankita,"Cameroon "
34,Aamani,Aarushi,Hanoi
35,Alaknanda,Bhumika,"Cape Verde "
36,Ambar,Briti,Nicosia
37,Abhijita,Anjini,"Fiji "
38,Akshadha,Alda,Vientiane
39,Amrita,Amara,Moscow
40,Ankolika,Bhavya,"Kuwait "
41,Baijanti,Agriya,Helsinki
42,Angira,Aashna,"China "
43,Alpita,Bharati,Luxembourg
44,Ammu,Baruni,"Bahrain "
45,Anima,Bijali,"Bahamas "
46,Aashiyana,Amukta,"Lebanon "
47,Abha,Ablaa,Kingstown
48,Anjum,Bhavana,Antananarivo
49,Agnishikha,Ambu,"Spain "
50,Anamitra,Akuti,"Pretoria (executive); Cape Town (leg"
51,Bhavani,Aamaal,Asmara
52,Akashleena,Amitrasudan,"Uzbekistan "
53,Agamya,Amala,Belgrade
54,Bandhavi,Adwiteya,"Azerbaijan "
55,Beena,Aniya,"Uganda "
56,Akanksha,Beena,"Cote d'Ivoire "
57,Anjika,Adrika,"Moldova "
58,Adwiteya,Bhanu,"Slovenia "
59,Alakananda,Bakula,Reykjavik
60,Anagi,Ana,"Marshall Islands "
61,Amisha,Abhaya,Astana
62,Anindita,Alak,"Kuala Lumpur"
63,Ankita,Ananda,Islamabad
64,Amishta,Aapti,"Guatemala "
65,Angha,Agamya,Leste
66,Ambu,Abhipsa,"Maldives "
67,Aarti,Aishani,"Zimbabwe "
68,Adishakti,Anahita,"Palau "
69,Anangee,Aanchal,Quito
70,Akriti,Aarohi,Muscat
71,Baka,Ambar,Riyadh
72,Ankal,Bhanusri,Riga
73,Bulbul,Bhavani,"Central African Republic "
74,Brahmani,Bipasha,Doha
75,Bandhura,Bhamini,"New Zealand "
76,Ajala,Bhanumati,"Austria "
77,Aashna,Ankolika,"Djibouti "
78,Amala,Amita,"Italy "
79,Akane,Abhiruchi,Vaduz
80,Bahula,Baijanti,"San Jose"
81,Amvi,Akira,"Bangladesh "
82,Bhamini,Adwitiya,"Hungary "
83,Abhijaata,Bavishya,"Brunei "
84,Bhagyashri,Amritkala,"Pakistan "
85,Aapti,Ajaya,"Angola "
86,Barsha,Aishi,"Vaiaku village, Funafuti province"
87,Bhupali,Ahimsa,"Jordan "
88,Aamrapali,Bhamini,"Tajikistan "
89,Aloki,Aarti,"Turkmenistan "
90,Bhadra,Bageshri,Cairo
91,Agriya,Amritaya,"Nicaragua "
92,Alpa,Bijal,"Saint Vincent and the Grenadines "
93,Anjalee,Bhagirathi,"Venezuela "
94,Abhiri,Alankrita,Castries
95,Aasha,Bahula,London
96,Achla,Akshata,"Tanzania "
97,Akhila,Amlankusum,Amman
98,Akshara,Bryn,"Georgia "
99,Brijabala,Bairavi,"Saint Lucia "
100,Aanandita,Alpita,Podgorica
